DATE,NAME_0,N,SCORE
2022-01-20,Brazil,247879,0.5542270340851786
2022-01-20,Chile,16366,0.6032527635952585
2022-01-20,Colombia,25582,0.5901914246345086
2022-01-20,Ecuador,5000,0.599794348
2022-01-20,Paraguay,5251,0.576539334222053
2022-01-20,Peru,6813,0.5834998692206077
2022-01-20,Uruguay,9380,0.5803397234541579
2022-01-20,Venezuela,9446,0.6264211255557908
2022-01-21,Argentina,55864,0.5675377452026349
2022-01-21,Bolivia,856,0.6231774778037382
2022-01-21,Brazil,254106,0.5513432267242805
2022-01-21,Chile,21208,0.6128708982459449
2022-01-21,Colombia,25747,0.5954097162387851
2022-01-21,Ecuador,4847,0.6126679397565505
2022-01-21,Paraguay,5286,0.5832478584941354
2022-01-21,Peru,6826,0.5769007185760329
2022-01-21,Uruguay,9475,0.5890660970976254
2022-01-21,Venezuela,9355,0.6295940658471405
2022-01-22,Argentina,54461,0.5706112917316979
2022-01-22,Bolivia,754,0.639501722811671
2022-01-22,Brazil,236993,0.5536165612022296
2022-01-22,Chile,17550,0.6106751663247864
2022-01-22,Colombia,25194,0.5963925198856871
2022-01-22,Ecuador,4780,0.5980207280334728
2022-01-22,Paraguay,4821,0.5918583206803568
2022-01-22,Peru,6536,0.5910274764381885
2022-01-22,Uruguay,9861,0.58289347632086
2022-01-22,Venezuela,9557,0.6316883073140107
2022-01-23,Argentina,50062,0.575965760856538
2022-01-23,Bolivia,626,0.6404949424920127
2022-01-23,Brazil,242559,0.5525304031472754
2022-01-23,Chile,17836,0.6124992654743215
2022-01-23,Colombia,25115,0.59167535699781
2022-01-23,Ecuador,4801,0.6037524465736305
2022-01-23,Paraguay,4563,0.5844498299364452
2022-01-23,Peru,6538,0.595390398133986
2022-01-23,Uruguay,9040,0.5829226777654867
2022-01-23,Venezuela,9689,0.635445579316751
2022-01-24,Argentina,53286,0.5716693728746763
2022-01-24,Bolivia,967,0.6704392368148916
2022-01-24,Brazil,314909,0.5423639143943171
2022-01-24,Chile,18924,0.6032073310082435
2022-01-24,Colombia,26527,0.5875904119953255
2022-01-24,Ecuador,4912,0.5950653365228014
2022-01-24,Paraguay,5989,0.5666645745533478
2022-01-24,Peru,7450,0.5827561292617448
2022-01-24,Uruguay,8890,0.581502925984252
2022-01-24,Venezuela,9699,0.6271795030415507
2022-01-25,Argentina,55070,0.5695448793717087
2022-01-25,Bolivia,680,0.6363478705882353
2022-01-25,Brazil,275608,0.5433412106361208
2022-01-25,Chile,18074,0.6057817396813102
2022-01-25,Colombia,27859,0.586364466886823
2022-01-25,Ecuador,5070,0.5915171792899407
2022-01-25,Paraguay,5653,0.5695693143463648
2022-01-25,Peru,8118,0.5814842744518355
2022-01-25,Uruguay,9644,0.5752113947532144
2022-01-25,Venezuela,9642,0.6144592088778262
2022-01-26,Argentina,58286,0.5690260949799266
2022-01-26,Bolivia,979,0.6595947701736465
2022-01-26,Brazil,276751,0.5462731050764044
2022-01-26,Chile,18902,0.6044161019468839
2022-01-26,Colombia,28435,0.5894822292245473
2022-01-26,Ecuador,5121,0.6031327637180238
2022-01-26,Paraguay,6903,0.5617345238302187
2022-01-26,Peru,9022,0.580968206606074
2022-01-26,Uruguay,9857,0.5791134480064928
2022-01-26,Venezuela,10984,0.6195408151857247
2022-01-27,Argentina,56903,0.5753761867739838
2022-01-27,Bolivia,664,0.6315080135542169
2022-01-27,Brazil,270993,0.5460083857959431
2022-01-27,Chile,18653,0.6018415098375597
2022-01-27,Colombia,29310,0.5836232105424769
2022-01-27,Ecuador,6018,0.6003673815221003
2022-01-27,Paraguay,7425,0.5775137973063974
2022-01-27,Peru,8344,0.588969287392138
2022-01-27,Uruguay,10046,0.5750781976906233
2022-01-27,Venezuela,9895,0.633397042748863
2022-01-28,Argentina,59547,0.5743236486137001
2022-01-28,Bolivia,682,0.634179931085044
2022-01-28,Brazil,279784,0.5511375861771938
2022-01-28,Chile,21300,0.5986803297652582
2022-01-28,Colombia,32133,0.5788932012261538
2022-01-28,Ecuador,5073,0.6067977372363493
2022-01-28,Paraguay,7387,0.577043438743739
2022-01-28,Peru,8633,0.5858823319819298
2022-01-28,Uruguay,9296,0.5876254658993114
2022-01-28,Venezuela,10675,0.6481941490398127
2022-01-29,Argentina,50057,0.5775332680743952
2022-01-29,Bolivia,747,0.6322986050870149
2022-01-29,Brazil,250220,0.5493499222684038
2022-01-29,Chile,16522,0.6093988770124682
2022-01-29,Colombia,29546,0.5762468369660867
2022-01-29,Ecuador,4501,0.6051754305709842
2022-01-29,Paraguay,4947,0.5947428983222154
2022-01-29,Peru,6563,0.5959640109705927
2022-01-29,Uruguay,7893,0.5858960235651844
2022-01-29,Venezuela,10353,0.6342109703467594
2022-01-30,Argentina,49513,0.5761946826288046
2022-01-30,Bolivia,770,0.6406045363636363
2022-01-30,Brazil,234272,0.5517820725566862
2022-01-30,Chile,17281,0.6100284791968057
2022-01-30,Colombia,28197,0.5919759037486257
2022-01-30,Ecuador,4476,0.6108289499553172
2022-01-30,Paraguay,5324,0.6029184829075883
2022-01-30,Peru,7140,0.585856955882353
2022-01-30,Uruguay,8634,0.5871706813759554
2022-01-30,Venezuela,9749,0.6316285021027798
2022-01-31,Argentina,54436,0.5722873724924682
2022-01-31,Bolivia,696,0.6336105689655173
2022-01-31,Brazil,294799,0.541916082886984
2022-01-31,Chile,18072,0.5972652660469234
2022-01-31,Colombia,27884,0.5893369860852102
2022-01-31,Ecuador,4266,0.6088523898265353
2022-01-31,Paraguay,10301,0.4612019618483642
2022-01-31,Peru,7692,0.5736592719708788
2022-01-31,Uruguay,9548,0.5731349964390448
2022-01-31,Venezuela,9496,0.631715497683235
2022-02-01,Argentina,59800,0.5743457940301003
